Site,Date,State,Country,Latitude,Longitude,EnglishName,LatinName,OrigBflyName,ButterflyCount,ObserverCount,HoursObserved
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,'Henshaw's' Nabokov's Satyr,Cyllopsis pyracmon henshawi,Cyllopsis henshawi,1,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Queen,Danaus gilippus,Danaus gilippus,162,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Monarch,Danaus plexippus,Danaus plexippus,9,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Tiny Checkerspot,Dymasia dymas,Dymasia dymas,37,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Mathew's Groundstreak,Electrostrymon mathewi,Amblyscirtes prenda,1,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Zela Metalmark,Emesis zela,Emesis zela,20,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Funereal Duskywing,Erynnis funeralis,Erynnis funeralis,7,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Variegated Fritillary,Euptoieta claudia,Euptoieta claudia,6,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Little Yellow,Eurema lisa,Eurema lisa,1,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Mexican Yellow,Eurema mexicana,Eurema mexicana,43,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Sleepy Orange,Eurema nicippe,Eurema nicippe,24,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Tailed Orange,Eurema proterpia,Eurema proterpia,143,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Ceraunus Blue,Hemiargus ceraunus,Hemiargus ceraunus,24,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Reakirt's Blue,Hemiargus isola,Hemiargus isola,168,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Pahaska Skipper,Hesperia pahaska,Hesperia pahaska,13,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Common Buckeye,Junonia coenia,Junonia coenia,9,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Tropical Buckeye (form nigrosuffusa),Junonia genoveva (form nigrosuffusa),Junonia nigrosuffusa,29,5,41
AtascosaHighlandsAZ,8/5/1984,AZ,USA,31.48,-111.16,Lyside Sulphur,Kricogonia lyside,Kricogonia lyside,5,5,41
