,,,,,,,,,,Values,
sp,site,year,fullDate,state,hours,date,Common Name,Season,Survey,Sum of count,Sum of PreserveOfficial
Pontia protodice,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Checkered white,Summer,2020 Summer,1,1
Pontia protodice,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Checkered white,Summer,2019 Summer,5,5
Pontia protodice,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Checkered white,Fall,2019 Fall,6,6
Pyrgus albescens,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,White checkered skipper,Spring,2020 Spring,51,51
Pyrgus communis,Cottonwood,2019,08/29/2019,AZ,11,241,Common/white checkered skipper,Summer,2019 Summer,2,2
Pyrgus communis,Cottonwood,2020,08/26/2020,AZ,20,239,Common/white checkered skipper,Summer,2020 Summer,5,5
Pyrgus communis,GrandCanyonN,2019,07/25/2019,AZ,6,206,Common/white checkered skipper,Summer,2019 Summer,7,7
Pyrgus communis,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Common/white checkered skipper,Spring,2019 Spring,127,119
Pyrgus communis,McDowellSonoranPreserve,2020,04/04/2020,AZ,16.65,95,Common/white checkered skipper,Spring,2020 Spring,8,8
Pyrgus communis,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Common/white checkered skipper,Fall,2021 Fall,27,24
Pyrgus communis,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Common/white checkered skipper,Summer,2019 Summer,9,9
Pyrgus communis,PortalAZ,2019,07/25/2019,AZ,4,206,Common/white checkered skipper,Summer,2019 Summer,12,12
Pyrgus communis,PortalAZ,2020,08/02/2020,AZ,21,215,Common/white checkered skipper,Summer,2020 Summer,1,1
Pyrgus communis,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Common/white checkered skipper,Summer,2020 Summer,7,7
Pyrgus communis,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Common/white checkered skipper,Summer,2020 Summer,1,1
Pyrgus communis,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Common/white checkered skipper,Fall,2019 Fall,7,7
Pyrgus communis,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Common/white checkered skipper,Fall,2020 Fall,5,5
Pyrgus philetas,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Desert checkered skipper,Summer,2019 Summer,51,51
Pyrgus philetas,PortalAZ,2019,07/25/2019,AZ,4,206,Desert checkered skipper,Summer,2019 Summer,1,1
Pyrgus philetas,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Desert checkered skipper,Summer,2020 Summer,2,2
Pyrgus philetas,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Desert checkered skipper,Spring,2020 Spring,5,5
Pyrgus philetas,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Desert checkered skipper,Summer,2019 Summer,2,2
Pyrgus philetas,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Desert checkered skipper,Fall,2019 Fall,6,6
Pyrgus philetas,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Desert checkered skipper,Summer,2020 Summer,3,3
Pyrgus philetas,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Desert checkered skipper,Fall,2020 Fall,3,3
Pyrrhopyge araxes,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Dull firetip,Summer,2019 Summer,96,96
Pyrrhopyge araxes,PortalAZ,2019,07/25/2019,AZ,4,206,Dull firetip,Summer,2019 Summer,16,16
Pyrrhopyge araxes,PortalAZ,2020,08/02/2020,AZ,21,215,Dull firetip,Summer,2020 Summer,761,761
Pyrrhopyge araxes,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Dull firetip,Summer,2020 Summer,29,29
Pyrrhopyge araxes,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Dull firetip,Summer,2020 Summer,1,1
Pyrrhopyge araxes,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Dull firetip,Summer,2019 Summer,20,20
Pyrrhopyge araxes,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Dull firetip,Summer,2020 Summer,262,262
Satyrium behrii,GrandCanyonN,2019,07/25/2019,AZ,6,206,Behr's hairstreak,Summer,2019 Summer,1,1
Staphylus ceos,Cottonwood,2019,08/29/2019,AZ,11,241,Golden-headed scallopwing,Summer,2019 Summer,1,1
Staphylus ceos,Cottonwood,2020,08/26/2020,AZ,20,239,Golden-headed scallopwing,Summer,2020 Summer,9,9
Staphylus ceos,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Golden-headed scallopwing,Summer,2019 Summer,255,255
Staphylus ceos,PortalAZ,2019,07/25/2019,AZ,4,206,Golden-headed scallopwing,Summer,2019 Summer,27,27
Staphylus ceos,PortalAZ,2020,08/02/2020,AZ,21,215,Golden-headed scallopwing,Summer,2020 Summer,9,9
Staphylus ceos,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Golden-headed scallopwing,Summer,2019 Summer,73,73
Staphylus ceos,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Golden-headed scallopwing,Summer,2020 Summer,16,16
Staphylus ceos,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Golden-headed scallopwing,Summer,2019 Summer,1,1
Staphylus ceos,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Golden-headed scallopwing,Spring,2020 Spring,16,16
Staphylus ceos,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Golden-headed scallopwing,Summer,2019 Summer,132,132
Staphylus ceos,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Golden-headed scallopwing,Fall,2019 Fall,1,1
Staphylus ceos,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Golden-headed scallopwing,Summer,2020 Summer,39,39
Staphylus ceos,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Golden-headed scallopwing,Fall,2020 Fall,1,1
Strymon melinus,Cottonwood,2019,08/29/2019,AZ,11,241,Gray hairstreak,Summer,2019 Summer,3,3
Strymon melinus,Cottonwood,2020,08/26/2020,AZ,20,239,Gray hairstreak,Summer,2020 Summer,2,2
Strymon melinus,GrandCanyonN,2019,07/25/2019,AZ,6,206,Gray hairstreak,Summer,2019 Summer,4,4
Strymon melinus,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Gray hairstreak,Spring,2019 Spring,2,1
Strymon melinus,McDowellSonoranPreserve,2019,09/28/2019,AZ,18.78,271,Gray hairstreak,Fall,2019 Fall,1,1
Strymon melinus,McDowellSonoranPreserve,2020,04/04/2020,AZ,16.65,95,Gray hairstreak,Spring,2020 Spring,1,1
Strymon melinus,McDowellSonoranPreserve,2020,09/26/2020,AZ,15.33,270,Gray hairstreak,Fall,2020 Fall,2,2
Strymon melinus,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Gray hairstreak,Fall,2021 Fall,74,72
Strymon melinus,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Gray hairstreak,Summer,2019 Summer,4,4
Strymon melinus,PortalAZ,2019,07/25/2019,AZ,4,206,Gray hairstreak,Summer,2019 Summer,12,12
Strymon melinus,PortalAZ,2020,08/02/2020,AZ,21,215,Gray hairstreak,Summer,2020 Summer,1,1
Strymon melinus,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Gray hairstreak,Summer,2020 Summer,9,9
Strymon melinus,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Gray hairstreak,Summer,2019 Summer,3,3
Strymon melinus,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Gray hairstreak,Spring,2020 Spring,24,24
Strymon melinus,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Gray hairstreak,Summer,2020 Summer,1,1
Strymon melinus,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Gray hairstreak,Summer,2019 Summer,2,2
Strymon melinus,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Gray hairstreak,Fall,2019 Fall,2,2
Strymon melinus,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Gray hairstreak,Summer,2020 Summer,6,6
Strymon melinus,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Gray hairstreak,Fall,2020 Fall,11,11
Systasea zampa,BoyceThompsonArboretum,2019,09/07/2019,AZ,10,250,Arizona powdered skipper,Fall,2019 Fall,4,4
Systasea zampa,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Arizona powdered skipper,Spring,2019 Spring,1,1
Systasea zampa,McDowellSonoranPreserve,2019,09/28/2019,AZ,18.78,271,Arizona powdered skipper,Fall,2019 Fall,1,1
Systasea zampa,McDowellSonoranPreserve,2020,04/04/2020,AZ,16.65,95,Arizona powdered skipper,Spring,2020 Spring,3,3
Systasea zampa,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Arizona powdered skipper,Fall,2021 Fall,24,20
Systasea zampa,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Arizona powdered skipper,Summer,2019 Summer,2,2
Systasea zampa,PortalAZ,2019,07/25/2019,AZ,4,206,Arizona powdered skipper,Summer,2019 Summer,3,3
Systasea zampa,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Arizona powdered skipper,Summer,2019 Summer,5,5
Systasea zampa,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Arizona powdered skipper,Spring,2020 Spring,25,25
Systasea zampa,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Arizona powdered skipper,Summer,2020 Summer,2,2
Systasea zampa,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Arizona powdered skipper,Summer,2019 Summer,4,4
Systasea zampa,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Arizona powdered skipper,Fall,2019 Fall,2,2
Systasea zampa,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Arizona powdered skipper,Summer,2020 Summer,13,13
Systasea zampa,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Arizona powdered skipper,Fall,2020 Fall,4,4
Texola elada,BoyceThompsonArboretum,2019,09/07/2019,AZ,10,250,Elada checkerspot,Fall,2019 Fall,3,3
Texola elada,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Elada checkerspot,Spring,2019 Spring,4,4
Texola elada,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Elada checkerspot,Fall,2021 Fall,8,6
Texola elada,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Elada checkerspot,Summer,2019 Summer,100,100
Texola elada,PortalAZ,2019,07/25/2019,AZ,4,206,Elada checkerspot,Summer,2019 Summer,6,6
Texola elada,PortalAZ,2020,08/02/2020,AZ,21,215,Elada checkerspot,Summer,2020 Summer,1,1
Texola elada,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Elada checkerspot,Summer,2019 Summer,1,1
Texola elada,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Elada checkerspot,Summer,2020 Summer,3,3
Texola elada,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Elada checkerspot,Spring,2020 Spring,22,22
Texola elada,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Elada checkerspot,Summer,2019 Summer,17,17
Texola elada,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Elada checkerspot,Fall,2019 Fall,12,12
Texola elada,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Elada checkerspot,Summer,2020 Summer,33,33
Texola elada,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Elada checkerspot,Fall,2020 Fall,2,2
Thorybes pylades,Cottonwood,2019,08/29/2019,AZ,11,241,Northern cloudywing,Summer,2019 Summer,1,1
Thorybes pylades,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Northern cloudywing,Summer,2019 Summer,82,82
Thorybes pylades,PortalAZ,2019,07/25/2019,AZ,4,206,Northern cloudywing,Summer,2019 Summer,162,162
Thorybes pylades,PortalAZ,2020,08/02/2020,AZ,21,215,Northern cloudywing,Summer,2020 Summer,12,12
Thorybes pylades,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Northern cloudywing,Summer,2019 Summer,35,35
Thorybes pylades,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Northern cloudywing,Summer,2020 Summer,18,18
Thorybes pylades,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Northern cloudywing,Summer,2019 Summer,17,17
Thorybes pylades,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Northern cloudywing,Summer,2019 Summer,31,31
Thorybes pylades,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Northern cloudywing,Fall,2019 Fall,1,1
Thorybes pylades,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Northern cloudywing,Summer,2020 Summer,20,20
Thorybes drusius,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Drusius cloudywing,Summer,2019 Summer,44,44
Thorybes drusius,PortalAZ,2019,07/25/2019,AZ,4,206,Drusius cloudywing,Summer,2019 Summer,12,12
Thorybes drusius,PortalAZ,2020,08/02/2020,AZ,21,215,Drusius cloudywing,Summer,2020 Summer,2,2
Thorybes drusius,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Drusius cloudywing,Summer,2019 Summer,4,4
Thorybes drusius,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Drusius cloudywing,Summer,2019 Summer,3,3
Thorybes drusius,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Drusius cloudywing,Summer,2020 Summer,5,5
Urbanus dorantes,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Dorantes longtail,Summer,2019 Summer,1,1
Urbanus dorantes,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Dorantes longtail,Summer,2019 Summer,1,1
Vanessa annabella,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,West coast lady,Spring,2019 Spring,2,2
Vanessa annabella,PatagoniaAZ,2019,08/06/2019,AZ,71,218,West coast lady,Summer,2019 Summer,1,1
Vanessa atalanta,Cottonwood,2019,08/29/2019,AZ,11,241,Red admiral,Summer,2019 Summer,5,5
Vanessa atalanta,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Red admiral,Spring,2019 Spring,27,25
Vanessa atalanta,PortalAZ,2020,08/02/2020,AZ,21,215,Red admiral,Summer,2020 Summer,1,1
Vanessa atalanta,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Red admiral,Summer,2019 Summer,1,1
Vanessa atalanta,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Red admiral,Summer,2020 Summer,2,2
Vanessa atalanta,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Red admiral,Spring,2020 Spring,24,24
Vanessa atalanta,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Red admiral,Fall,2020 Fall,1,1
Vanessa cardui,BoyceThompsonArboretum,2019,09/07/2019,AZ,10,250,Painted lady,Fall,2019 Fall,10,10
Vanessa cardui,BoyceThompsonArboretum,2020,09/12/2020,AZ,7.5,256,Painted lady,Fall,2020 Fall,1,1
Vanessa cardui,Cottonwood,2019,08/29/2019,AZ,11,241,Painted lady,Summer,2019 Summer,15,15
Vanessa cardui,Cottonwood,2020,08/26/2020,AZ,20,239,Painted lady,Summer,2020 Summer,15,15
Vanessa cardui,GrandCanyonN,2019,07/25/2019,AZ,6,206,Painted lady,Summer,2019 Summer,14,14
Vanessa cardui,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Painted lady,Spring,2019 Spring,32,29
Vanessa cardui,McDowellSonoranPreserve,2019,09/28/2019,AZ,18.78,271,Painted lady,Fall,2019 Fall,26,24
Vanessa cardui,McDowellSonoranPreserve,2020,04/04/2020,AZ,16.65,95,Painted lady,Spring,2020 Spring,55,49
Vanessa cardui,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Painted lady,Fall,2021 Fall,17,16
Vanessa cardui,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Painted lady,Summer,2019 Summer,295,295
Vanessa cardui,PortalAZ,2019,07/25/2019,AZ,4,206,Painted lady,Summer,2019 Summer,88,88
Vanessa cardui,PortalAZ,2020,08/02/2020,AZ,21,215,Painted lady,Summer,2020 Summer,42,42
Vanessa cardui,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Painted lady,Summer,2019 Summer,52,52
Vanessa cardui,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Painted lady,Summer,2020 Summer,19,19
Vanessa cardui,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Painted lady,Summer,2019 Summer,76,76
Vanessa cardui,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Painted lady,Spring,2020 Spring,185,185
Vanessa cardui,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Painted lady,Summer,2020 Summer,7,7
Vanessa cardui,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Painted lady,Summer,2019 Summer,84,84
Vanessa cardui,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Painted lady,Fall,2019 Fall,9,9
Vanessa cardui,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Painted lady,Summer,2020 Summer,19,19
Vanessa cardui,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Painted lady,Fall,2020 Fall,93,93
Vanessa virginiensis,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,American lady,Spring,2019 Spring,9,9
Vanessa virginiensis,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,American lady,Fall,2021 Fall,1,1
Vanessa virginiensis,PatagoniaAZ,2019,08/06/2019,AZ,71,218,American lady,Summer,2019 Summer,2,2
Vanessa virginiensis,PortalAZ,2019,07/25/2019,AZ,4,206,American lady,Summer,2019 Summer,21,21
Vanessa virginiensis,PortalAZ,2020,08/02/2020,AZ,21,215,American lady,Summer,2020 Summer,1,1
Vanessa virginiensis,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,American lady,Summer,2019 Summer,3,3
Vanessa virginiensis,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,American lady,Summer,2020 Summer,3,3
Vanessa virginiensis,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,American lady,Summer,2019 Summer,6,6
Vanessa virginiensis,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,American lady,Spring,2020 Spring,2,2
Vanessa virginiensis,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,American lady,Summer,2019 Summer,5,5
Vanessa virginiensis,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,American lady,Fall,2019 Fall,4,4
Vanessa virginiensis,SantaRitaMountains,2020,07/31/2020,AZ,60,213,American lady,Summer,2020 Summer,3,3
Zerene cesonia,BoyceThompsonArboretum,2020,09/12/2020,AZ,7.5,256,Southern dogface,Fall,2020 Fall,2,2
Zerene cesonia,Cottonwood,2019,08/29/2019,AZ,11,241,Southern dogface,Summer,2019 Summer,1,1
Zerene cesonia,McDowellSonoranPreserve,2019,04/06/2019,AZ,20.55,96,Southern dogface,Spring,2019 Spring,31,29
Zerene cesonia,McDowellSonoranPreserve,2020,04/04/2020,AZ,16.65,95,Southern dogface,Spring,2020 Spring,2,2
Zerene cesonia,McDowellSonoranPreserve,2021,09/25/2021,AZ,28.43,268,Southern dogface,Fall,2021 Fall,76,74
Zerene cesonia,PatagoniaAZ,2019,08/06/2019,AZ,71,218,Southern dogface,Summer,2019 Summer,10,10
Zerene cesonia,PortalAZ,2019,07/25/2019,AZ,4,206,Southern dogface,Summer,2019 Summer,4,4
Zerene cesonia,PortalAZ,2020,08/02/2020,AZ,21,215,Southern dogface,Summer,2020 Summer,3,3
Zerene cesonia,RamseyCanyonAZ,2019,08/01/2019,AZ,39.5,213,Southern dogface,Summer,2019 Summer,4,4
Zerene cesonia,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Southern dogface,Summer,2020 Summer,3,3
Zerene cesonia,SabinoCanyonAZ,2019,07/23/2019,AZ,38.5,204,Southern dogface,Summer,2019 Summer,6,6
Zerene cesonia,SabinoCanyonAZ,2020,04/03/2020,AZ,62,94,Southern dogface,Spring,2020 Spring,29,29
Zerene cesonia,SabinoCanyonAZ,2020,07/29/2020,AZ,14.5,211,Southern dogface,Summer,2020 Summer,6,6
Zerene cesonia,SantaRitaMountains,2019,07/28/2019,AZ,48.5,209,Southern dogface,Summer,2019 Summer,15,15
Zerene cesonia,SantaRitaMountains,2019,09/28/2019,AZ,37.5,271,Southern dogface,Fall,2019 Fall,8,8
Zerene cesonia,SantaRitaMountains,2020,07/31/2020,AZ,60,213,Southern dogface,Summer,2020 Summer,29,29
Zerene cesonia,SantaRitaMountains,2020,10/04/2020,AZ,63.5,278,Southern dogface,Fall,2020 Fall,1,1
Zestusa dorus,RamseyCanyonAZ,2020,07/28/2020,AZ,55.5,210,Short tailed skipper,Summer,2020 Summer,1,1
Agathymus aryxna,McDowellSonoranPreserve,2015,10/03/2015,(blank),14.52,276,Arizona giant skipper,Fall,2015 Fall,1,1
Anthocharis centhura pima,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Pima desert orangetip,Spring,2017 Spring,6,6
Anthocharis sara,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Sara orangetip,Spring,2017 Spring,21,21
Apodemia mormo,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Mormon metalmark,Fall,2014 Fall,24,24
Apodemia mormo,McDowellSonoranPreserve,2015,10/03/2015,(blank),14.52,276,Mormon metalmark,Fall,2015 Fall,36,36
Apodemia mormo,McDowellSonoranPreserve,2016,09/17/2016,AZ,12.5,261,Mormon metalmark,Fall,2016 Fall,21,21
Apodemia mormo,McDowellSonoranPreserve,2016,09/17/2016,(blank),12.5,261,Mormon metalmark,Fall,2016 Fall,31,31
Apodemia mormo,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Mormon metalmark,Spring,2017 Spring,1,1
Apodemia mormo,McDowellSonoranPreserve,2017,09/23/2017,AZ,11.28,266,Mormon metalmark,Fall,2017 Fall,45,45
Apodemia mormo,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,Mormon metalmark,Fall,2018 Fall,76,66
Apodemia palmeri,McDowellSonoranPreserve,2015,10/03/2015,(blank),14.52,276,Palmer’s metalmark,Fall,2015 Fall,2,2
Apodemia palmeri,McDowellSonoranPreserve,2017,09/23/2017,AZ,11.28,266,Palmer’s metalmark,Fall,2017 Fall,2,2
Apodemia palmeri,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,Palmer’s metalmark,Fall,2018 Fall,17,14
Asterocampa leilia,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Empress leilia,Fall,2014 Fall,37,37
Asterocampa leilia,McDowellSonoranPreserve,2015,10/03/2015,(blank),14.52,276,Empress leilia,Fall,2015 Fall,24,24
Asterocampa leilia,McDowellSonoranPreserve,2016,09/17/2016,AZ,12.5,261,Empress leilia,Fall,2016 Fall,33,33
Asterocampa leilia,McDowellSonoranPreserve,2016,09/17/2016,(blank),12.5,261,Empress leilia,Fall,2016 Fall,30,30
Asterocampa leilia,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Empress leilia,Spring,2017 Spring,90,90
Asterocampa leilia,McDowellSonoranPreserve,2017,09/23/2017,AZ,11.28,266,Empress leilia,Fall,2017 Fall,55,55
Asterocampa leilia,McDowellSonoranPreserve,2018,04/07/2018,AZ,13.5,97,Empress leilia,Spring,2018 Spring,10,8
Asterocampa leilia,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,Empress leilia,Fall,2018 Fall,122,102
Atlides halesus,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Great purple hairstreak,Fall,2014 Fall,2,2
Atlides halesus,McDowellSonoranPreserve,2016,09/17/2016,AZ,12.5,261,Great purple hairstreak,Fall,2016 Fall,2,2
Atlides halesus,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Great purple hairstreak,Spring,2017 Spring,2,2
Atlides halesus,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,Great purple hairstreak,Fall,2018 Fall,1,1
Atrytonopsis edwardsi,McDowellSonoranPreserve,2016,09/17/2016,(blank),12.5,261,Sheep skipper,Fall,2016 Fall,1,1
Battus philenor,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Pipevine swallowtail,Fall,2014 Fall,35,35
Battus philenor,McDowellSonoranPreserve,2016,09/17/2016,(blank),12.5,261,Pipevine swallowtail,Fall,2016 Fall,21,21
Battus philenor,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Pipevine swallowtail,Spring,2017 Spring,72,72
Battus philenor,McDowellSonoranPreserve,2017,09/23/2017,AZ,11.28,266,Pipevine swallowtail,Fall,2017 Fall,6,6
Battus philenor,McDowellSonoranPreserve,2018,04/07/2018,AZ,13.5,97,Pipevine swallowtail,Spring,2018 Spring,3,3
Battus philenor,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,Pipevine swallowtail,Fall,2018 Fall,49,47
Brephidium exile,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Western pygmy blue,Fall,2014 Fall,4,4
Brephidium exile,McDowellSonoranPreserve,2015,10/03/2015,(blank),14.52,276,Western pygmy blue,Fall,2015 Fall,1,1
Brephidium exile,McDowellSonoranPreserve,2016,09/17/2016,(blank),12.5,261,Western pygmy blue,Fall,2016 Fall,1,1
Brephidium exile,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,Western pygmy blue,Fall,2018 Fall,2,2
Calephelis nemesis,McDowellSonoranPreserve,2016,09/17/2016,(blank),12.5,261,Fatal metalmark,Fall,2016 Fall,1,1
Celastrina argiolus,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Spring azure,Fall,2014 Fall,1,1
Celastrina argiolus,McDowellSonoranPreserve,2015,10/03/2015,(blank),14.52,276,Spring azure,Fall,2015 Fall,3,3
Celastrina argiolus,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Spring azure,Spring,2017 Spring,67,67
Chlosyne californica,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,California patch,Fall,2014 Fall,192,192
Chlosyne californica,McDowellSonoranPreserve,2016,09/17/2016,AZ,12.5,261,California patch,Fall,2016 Fall,6,6
Chlosyne californica,McDowellSonoranPreserve,2016,09/17/2016,(blank),12.5,261,California patch,Fall,2016 Fall,29,29
Chlosyne californica,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,California patch,Spring,2017 Spring,57,57
Chlosyne californica,McDowellSonoranPreserve,2018,04/07/2018,AZ,13.5,97,California patch,Spring,2018 Spring,8,8
Chlosyne californica,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,California patch,Fall,2018 Fall,5,5
Colias eurytheme,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Orange sulphur,Fall,2014 Fall,2,2
Colias eurytheme,McDowellSonoranPreserve,2015,10/03/2015,(blank),14.52,276,Orange sulphur,Fall,2015 Fall,2,2
Colias eurytheme,McDowellSonoranPreserve,2017,04/08/2017,AZ,19,98,Orange sulphur,Spring,2017 Spring,48,48
Colias eurytheme,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,Orange sulphur,Fall,2018 Fall,86,86
Copaeodes aurantiaca,McDowellSonoranPreserve,2018,09/29/2018,AZ,13.5,272,Orange skipperling,Fall,2018 Fall,2,2
Danuas gilippus,McDowellSonoranPreserve,2014,09/20/2014,(blank),8,263,Queen,Fall,2014 Fall,30,30
