"lat","lon","elev"
31.725088,-110.880087,1484
31.527667,-110.775132,1223
31.735642,-110.88352,1418
34.755087,-119.428657,1016
32.441865,-104.278068,1066
34.101677,-118.575667,429
32.94869,-105.748253,2685
38.020595,-119.265857,2519
38.040757,-122.788046,30
31.88325,-109.205821,1724
37.344154,-121.715302,511
39.060771,-110.672173,1599
37.873414,-121.923459,783
36.194777,-112.036117,1515
37.256677,-122.39628,2
35.302733,-120.818647,67
36.393337,-115.636051,1993
32.448362,-106.446343,1236
37.685039,-122.434518,333
31.759298,-109.33553,1772
45.742191,-123.931768,363
36.075461,-115.002319,487
31.730503,-110.88089,1484
44.281111,-124.100278,146
38.151608,-121.289118,16
33.191389,-116.323737,242
32.731968,-117.146452,78
33.784433,-118.347836,136
33.285797,-116.616165,1077
33.570233,-117.596878,177
34.392391,-119.516004,14
36.357357,-120.822058,852
37.552977,-122.089908,0
34.866356,-118.661957,1051
32.643108,-117.115779,3
37.438577,-118.184482,3094
32.414923,-110.713643,2479
35.094497,-106.492125,1791
37.766913,-122.470837,85
37.909804,-121.950216,355
38.721144,-120.007377,2600
32.937611,-108.200537,2316
42.914108,-122.071412,2057
45.339908,-111.366316,2711
36.676678,-121.765237,35
32.32233,-106.577387,1822
37.776878,-118.680243,2756
37.414519,-122.227458,84
35.66358,-121.27548,0
37.895728,-122.289688,36
34.019089,-116.112099,1328
32.844095,-117.006692,98
38.60244,-122.73631,132
38.462091,-122.563455,583
33.974003,-118.349284,56
38.119957,-122.943159,0
34.026415,-116.30127,1431
38.655511,-109.715424,1494
40.366852,-105.564215,2454
37.528642,-121.811072,507
40.405338,-105.096892,1534
36.540536,-118.762207,1542
37.803895,-122.458228,0
37.79233,-122.455987,33
33.791848,-109.165132,2672
36.493049,-121.173566,362
38.344062,-122.644441,115
44.288659,-115.032213,2006
35.227378,-107.623711,3067
36.907285,-121.747234,6
32.87489,-116.432186,1743
34.016856,-118.287787,65
31.570427,-111.049712,996
33.796344,-117.75258,177
34.163307,-116.877527,2107
42.918702,-122.019523,2563
38.133542,-121.749848,24
48.138256,-123.196564,37
31.93748,-112.83827,509
38.565386,-121.383648,14
32.693494,-116.807479,383
37.687433,-122.436361,333
45.853387,-110.950757,2334
39.996391,-105.114965,1623
36.95979,-121.884722,31
33.80217,-116.48607,109
32.547407,-117.109972,5
32.933086,-117.000489,331
34.066819,-118.168594,159
40.683463,-110.896991,3220
32.776306,-116.447868,1275
34.128686,-118.210808,182
31.740566,-110.89347,1329
38.296411,-122.318811,110
34.017602,-118.288338,65
32.891129,-117.202477,43
37.880713,-122.036217,71
47.545614,-122.226673,88
33.89515,-118.411833,0
