"","reps","median","low","up","prob"
"",52,-0.024,-0.047,0,0.977
"",52,-0.021,-0.044,0.004,0.952
"",52,-0.019,-0.043,0.006,0.934
"",52,-0.012,-0.036,0.01,0.849
"",52,-0.009,-0.03,0.015,0.773
"",52,-0.02,-0.043,0.005,0.946
"",52,-0.014,-0.038,0.009,0.872
"",52,-0.023,-0.046,0,0.972
"",52,-0.012,-0.037,0.008,0.86
"",52,-0.023,-0.047,0,0.978
"",52,-0.017,-0.042,0.007,0.918
"",52,-0.02,-0.045,0.004,0.938
"",52,-0.02,-0.045,0.006,0.941
"",52,-0.017,-0.04,0.006,0.934
"",52,-0.017,-0.039,0.004,0.948
"",52,-0.023,-0.047,0.002,0.963
"",52,-0.017,-0.04,0.006,0.93
"",52,-0.013,-0.036,0.01,0.873
"",52,-0.014,-0.038,0.009,0.881
"",52,-0.021,-0.046,0.001,0.968
"",52,-0.018,-0.042,0.005,0.944
"",52,-0.025,-0.051,-0.002,0.977
"",52,-0.016,-0.038,0.009,0.912
"",52,-0.018,-0.041,0.004,0.944
"",52,-0.018,-0.041,0.005,0.937
"",52,-0.013,-0.037,0.009,0.874
"",52,-0.021,-0.045,0.004,0.948
"",52,-0.022,-0.045,0.001,0.967
"",52,-0.012,-0.035,0.01,0.852
"",52,-0.023,-0.048,0.001,0.965
"",52,-0.016,-0.04,0.009,0.908
"",52,-0.015,-0.038,0.008,0.893
"",52,-0.027,-0.049,-0.002,0.982
"",52,-0.013,-0.035,0.01,0.874
"",52,-0.011,-0.034,0.011,0.847
"",52,-0.014,-0.04,0.009,0.876
"",52,-0.015,-0.037,0.007,0.902
"",52,-0.015,-0.039,0.008,0.906
"",52,-0.019,-0.043,0.007,0.933
"",52,-0.017,-0.043,0.006,0.919
"",52,-0.016,-0.04,0.007,0.907
"",52,-0.017,-0.038,0.005,0.938
"",52,-0.017,-0.04,0.007,0.912
"",52,-0.018,-0.041,0.007,0.92
"",52,-0.021,-0.044,0.003,0.955
"",52,-0.016,-0.039,0.008,0.898
"",52,-0.015,-0.039,0.009,0.894
"",52,-0.02,-0.043,0.003,0.962
"",52,-0.013,-0.037,0.009,0.869
"",52,-0.014,-0.037,0.008,0.869
"",52,-0.012,-0.036,0.009,0.848
"",52,-0.016,-0.037,0.009,0.914
"",52,-0.017,-0.04,0.005,0.933
"",52,-0.021,-0.046,0.003,0.961
"",52,-0.017,-0.039,0.004,0.941
"",52,-0.017,-0.039,0.007,0.921
"",52,-0.023,-0.049,0,0.97
"",52,-0.017,-0.04,0.006,0.914
"",52,-0.006,-0.029,0.015,0.707
"",52,-0.018,-0.04,0.007,0.926
"",52,-0.01,-0.032,0.012,0.791
"",52,-0.019,-0.042,0.005,0.95
"",52,-0.016,-0.039,0.008,0.906
"",52,-0.015,-0.038,0.01,0.884
"",52,-0.021,-0.044,0.003,0.957
"",52,-0.018,-0.044,0.006,0.92
"",52,-0.015,-0.04,0.008,0.896
"",52,-0.013,-0.035,0.011,0.87
"",52,-0.02,-0.041,0.004,0.965
"",52,-0.007,-0.028,0.016,0.738
"",52,-0.014,-0.036,0.009,0.891
"",52,-0.013,-0.033,0.009,0.871
"",52,-0.019,-0.045,0.005,0.936
"",52,-0.014,-0.038,0.012,0.874
"",52,-0.01,-0.034,0.015,0.792
"",52,-0.015,-0.037,0.008,0.906
"",62,-0.017,-0.037,0.005,0.946
"",62,-0.017,-0.038,0.004,0.939
"",62,-0.015,-0.037,0.005,0.917
"",62,-0.017,-0.038,0.003,0.936
"",62,-0.019,-0.039,0.003,0.953
"",62,-0.019,-0.04,0.001,0.969
"",62,-0.021,-0.041,0,0.976
"",62,-0.015,-0.038,0.005,0.924
"",62,-0.014,-0.034,0.007,0.914
"",62,-0.015,-0.035,0.005,0.914
"",62,-0.015,-0.036,0.004,0.941
"",62,-0.015,-0.034,0.005,0.93
"",62,-0.02,-0.04,0,0.971
"",62,-0.016,-0.037,0.004,0.94
"",62,-0.013,-0.033,0.009,0.894
"",62,-0.015,-0.036,0.005,0.929
"",62,-0.02,-0.04,0.001,0.968
"",62,-0.012,-0.032,0.01,0.87
"",62,-0.017,-0.039,0.004,0.941
"",62,-0.015,-0.035,0.005,0.918
"",62,-0.016,-0.036,0.004,0.942
"",62,-0.014,-0.035,0.007,0.903
"",62,-0.012,-0.031,0.008,0.889
"",62,-0.011,-0.032,0.009,0.855
"",62,-0.016,-0.037,0.003,0.948
"",62,-0.018,-0.039,0.003,0.954
"",62,-0.014,-0.037,0.005,0.919
"",62,-0.016,-0.036,0.005,0.932
"",62,-0.014,-0.035,0.006,0.912
"",62,-0.017,-0.037,0.003,0.951
"",62,-0.013,-0.034,0.008,0.905
"",62,-0.015,-0.036,0.005,0.918
"",62,-0.016,-0.036,0.004,0.937
"",62,-0.021,-0.041,0.001,0.973
"",62,-0.013,-0.035,0.006,0.896
"",62,-0.012,-0.032,0.008,0.872
